,t,y
0,9.812493750000002,-1.0411896779422591e-05
1,9.81259375,0.0005400423370887
2,9.81269375,-0.0004632069601084
3,9.81279375,0.0035900690848567
4,9.81289375,0.007325492567645
5,9.81299375,0.0058426862834149
6,9.81309375,0.0099201206153282
7,9.81319375,0.0066799380107257
8,9.81329375,0.0055013227618752
9,9.81339375,0.0078414150196704
10,9.81349375,0.0077332385465096
11,9.81359375,0.0065404643312916
12,9.81369375,0.0067609469256095
13,9.81379375,0.0055883079436515
14,9.81389375,0.0056302066927903
15,9.81399375,0.0069734471956129
16,9.81409375,0.0092211449205044
17,9.81419375,0.007571430146834
18,9.81429375,0.0067136581295289
19,9.81439375,0.0079294733217383
20,9.81449375,0.0057977932091017
21,9.81459375,0.0070850860763828
22,9.81469375,0.0049668070605271
23,9.814793750000002,0.005719166986931
24,9.81489375,0.0044886574766689
25,9.81499375,0.0030836599676492
26,9.81509375,0.0040082706140524
27,9.81519375,0.0041034935944778
28,9.81529375,0.0042931630271714
29,9.81539375,0.0055163963624936
30,9.81549375,0.005110212550122
31,9.81559375,0.0057382664723753
32,9.81569375,0.0037143428130978
33,9.81579375,0.0030014755950075
34,9.81589375,0.0052750974647528
35,9.81599375,0.0046290044148797
36,9.81609375,0.0036304153914433
37,9.81619375,-0.0005391750096683
38,9.816293750000002,-0.0002076260114239
39,9.81639375,0.005219832164664
40,9.81649375,0.002360466805687
41,9.81659375,0.0036566989698025
42,9.81669375,0.0023895741730027
43,9.81679375,0.0053207764438129
44,9.81689375,0.0047573222237759
45,9.81699375,0.0032320908816996
46,9.817093750000002,0.002759692614653
47,9.81719375,0.0021138821707901
48,9.81729375,0.0023904153027106
49,9.81739375,0.0055088055832967
50,9.81749375,0.0008287740316133
51,9.81759375,0.0026918625214908
52,9.81769375,0.0015091416091433
53,9.81779375,0.0050557810657458
54,9.81789375,0.0051084128953447
55,9.81799375,0.003597450953481
56,9.81809375,0.0024323222229894
57,9.81819375,0.004142495919265
58,9.81829375,0.0053786528661082
59,9.81839375,0.0076839377787824
60,9.81849375,0.003948586810678
61,9.818593750000002,0.0058231193213308
62,9.81869375,0.0057680647460543
63,9.81879375,0.0072121503682407
64,9.81889375,0.0072769900876869
65,9.81899375,0.0059485834069955
66,9.81909375,0.0044280855821774
67,9.81919375,0.004257334257559
68,9.81929375,0.0032082312998993
69,9.81939375,0.0068816091629647
70,9.81949375,0.0038517385449059
71,9.81959375,0.0076056554910729
72,9.81969375,0.0090772127568668
73,9.81979375,0.0099216146285627
74,9.81989375,0.0088013093994203
75,9.81999375,0.0073342862155705
76,9.82009375,0.0084770821647016
77,9.82019375,0.0061639141050654
78,9.82029375,0.0069064196869642
79,9.82039375,0.0040349068033398
80,9.82049375,0.004504843486658
81,9.82059375,0.0064618530716002
82,9.82069375,0.0070692433271892
83,9.82079375,0.0058345849793626
84,9.820893750000002,0.007450885502914
85,9.82099375,0.0079121860255139
86,9.82109375,0.0099547068717152
87,9.82119375,0.0076263595450973
88,9.82129375,0.009941127009262
89,9.82139375,0.0064030838769292
90,9.82149375,0.0088434998325554
91,9.82159375,0.0092825859599085
92,9.82169375,0.0092689487937555
93,9.82179375,0.0064898063363063
94,9.82189375,0.0065485383878552
95,9.82199375,0.0049737944884819
96,9.82209375,0.0093524655071865
97,9.82219375,0.0058428616969017
98,9.82229375,0.007291394065579
99,9.822393750000002,0.004503054203203
100,9.82249375,0.008144987873499
101,9.82259375,0.0065350369009066
102,9.82269375,0.0070483950700742
103,9.82279375,0.004592481467698
104,9.82289375,0.0074436409851875
105,9.82299375,0.006639974728412
106,9.82309375,0.0072666491240721
107,9.823193750000002,0.0053590509074941
108,9.82329375,0.0057226871400743
109,9.82339375,0.0056319536265539
110,9.82349375,0.0026732697221883
111,9.82359375,0.0029367187791186
112,9.82369375,0.0029336541731388
113,9.82379375,0.0016734577239266
114,9.82389375,0.0036737825708544
115,9.82399375,0.0040154630289009
116,9.82409375,0.005523281001002
