,Unnamed: 0,t,y,fft,fftfreq,fft_plot,fftfreq_plot
0,0,7.624993750000001,-1.1103969972033734e-05,(55.024349321008174+3.122502256758253e-16j),,(55.024349321007705+2.983724378680108e-16j),0.0
1,1,7.62509375,0.0004991139281512,(0.03278706311202112-0.052497846416878644j),0.9999000100013304,(0.032787063112025644-0.052497846416876916j),0.9999000100102113
2,2,7.62519375,-0.0001457741936511,(-0.01935725178911195+0.018130421579836287j),1.9998000200026609,(-0.01935725178910544+0.018130421579830025j),1.9998000200204227
3,3,7.625293750000001,0.0022875548350436,(-0.011396432701153265+0.012685356927045074j),2.999700030003991,(-0.011396432701147968+0.012685356927044896j),2.999700030030634
4,4,7.625393750000001,0.0077097083622665,(-0.022139383953043008+0.00029661353973792627j),3.9996000400053218,(-0.022139383953040652+0.0002966135397340841j),3.9996000400408454
5,5,7.62549375,0.0065492124045832,(-0.019050108696587194-0.004619172665085286j),4.999500050006652,(-0.019050108696584293-0.004619172665085322j),4.999500050051057
6,6,7.62559375,0.0047404446577798,(0.010247586582076083+0.0008156033666266189j),5.999400060007982,(0.010247586582078772+0.0008156033666214047j),5.999400060061268
7,7,7.625693750000001,0.007804588314475,(-0.025535255252264577+0.01870403727276962j),6.999300070009313,(-0.025535255252262398+0.018704037272765095j),6.999300070071479
8,8,7.625793750000001,0.0025988745232594,(-0.01489394345099452+0.005248781531907453j),7.9992000800106435,(-0.014893943450992176+0.005248781531909067j),7.999200080081691
9,9,7.62589375,0.0003375550135324,(-0.024423736831516406-0.00418416791067481j),8.999100090011973,(-0.024423736831515833-0.004184167910679754j),8.999100090091902
10,10,7.62599375,-0.0012153011994058,(-0.02265141791992272+0.01757266932655949j),9.999000100013305,(-0.022651417919922538+0.017572669326555317j),9.999000100102114
11,11,7.626093750000001,0.0026446166655557,(-0.02337728323526338-0.004818301967111765j),10.998900110014636,(-0.02337728323526906-0.00481830196711592j),10.998900110112325
12,12,7.62619375,0.0015598013168785,(-0.006423908697710446+0.010199977553950025j),11.998800120015964,(-0.006423908697707006+0.010199977553952359j),11.998800120122535
13,13,7.62629375,0.0054251526366487,(-0.020359634741628035+0.00579304170763605j),12.998700130017296,(-0.02035963474163109+0.005793041707636313j),12.998700130132747
14,14,7.626393750000001,0.0061283960896098,(-0.02742380123466006-0.0013774096505820893j),13.998600140018626,(-0.027423801234661434-0.0013774096505854807j),13.998600140142958
15,15,7.626493750000001,0.0045067429363671,(-0.03249087569770442-0.007739446000625606j),14.998500150019956,(-0.032490875697702364-0.007739446000625112j),14.99850015015317
16,16,7.62659375,0.004130249062413,(-0.051447487981014964-0.00782809772260937j),15.998400160021289,(-0.051447487981019974-0.007828097722610956j),15.998400160163381
17,17,7.62669375,0.0026285473743321,(-0.018805462125051704-0.019910074922995454j),16.998300170022617,(-0.018805462125051763-0.01991007492299736j),16.998300170173593
18,18,7.626793750000001,0.0042483312866745,(-0.016299841456078174-0.015653359352869316j),17.998200180023947,(-0.016299841456083375-0.015653359352868493j),17.998200180183805
19,19,7.626893750000001,-0.0012796259473097,(-0.03650946801264133+0.007143698004820799j),18.99810019002528,(-0.03650946801264083+0.0071436980048211534j),18.998100190194016
20,20,7.62699375,-0.0020453187300265,(-0.02234156828136937-0.022698315395130925j),19.99800020002661,(-0.02234156828137253-0.022698315395125037j),19.998000200204228
21,21,7.62709375,0.0038547757964081,(-0.01738072512444489-0.02259611239944977j),20.99790021002794,(-0.017380725124448028-0.022596112399448913j),20.99790021021444
22,22,7.627193750000001,0.0029149481274955,(-0.02548730339445417-0.031060786033575954j),21.99780022002927,(-0.025487303394452793-0.03106078603357317j),21.99780022022465
23,23,7.627293750000001,0.0070058489632266,(-0.0798788100703291-0.08469558998817368j),22.9977002300306,(-0.07987881007032815-0.08469558998816952j),22.997700230234862
24,24,7.62739375,0.0026867579515081,(0.0432810226003294+0.09279248563111576j),23.99760024003193,(0.04328102260033089+0.09279248563111595j),23.99760024024507
25,25,7.62749375,0.0043824011300318,(0.0009308902994269105+0.04393063374327438j),24.997500250033266,(0.0009308902994285195+0.04393063374327425j),24.997500250255282
26,26,7.627593750000001,0.0041521607302224,(0.031455508349303586+0.011096030423065777j),25.997400260034592,(0.031455508349303433+0.011096030423069086j),25.997400260265493
27,27,7.627693750000001,0.0061908356880448,(-0.0021898717171088457+0.018650804212566402j),26.99730027003592,(-0.0021898717171089637+0.018650804212567478j),26.997300270275705
28,28,7.62779375,0.0039749680576979,(-0.03490744794883607-0.019124699242643897j),27.99720028003725,(-0.03490744794883849-0.019124699242645586j),27.997200280285917
29,29,7.62789375,-0.0003359144902479,(-0.04479156914719258-0.030060184052987972j),28.99710029003858,(-0.044791569147191804-0.03006018405298554j),28.997100290296128
30,30,7.627993750000001,0.0004932250687487,(0.009483868848743861+0.013952030239299765j),29.997000300039915,(0.00948386884874394+0.013952030239301439j),29.99700030030634
31,31,7.628093750000001,0.0029712078476868,(-0.03384596003270837+0.012079421074065174j),30.996900310041244,(-0.03384596003270902+0.012079421074065328j),30.99690031031655
32,32,7.62819375,0.0030944446487643,(0.012120507389537204+0.021730708562321982j),31.99680032004257,(0.01212050738953549+0.021730708562322926j),31.996800320326763
33,33,7.62829375,0.0058425486775982,(-0.0033159536748933547+0.010594657846528289j),32.99670033004391,(-0.003315953674892881+0.010594657846530735j),32.99670033033697
34,34,7.628393750000001,0.0044526839083247,(-0.013819255126142873-0.0062672212907653145j),33.996600340045234,(-0.0138192551261429-0.006267221290765743j),33.996600340347186
35,35,7.62849375,0.0068318715990686,(-0.019066786999321964-0.012801882471981893j),34.99650035004657,(-0.019066786999320667-0.012801882471984095j),34.996500350357394
36,36,7.62859375,0.0069918896782042,(0.001829176286828659-0.0008758603800883804j),35.99640036004789,(0.001829176286830784-0.0008758603800868785j),35.99640036036761
37,37,7.628693750000001,0.0092753944720549,(-0.017248370970636483-0.002627312242242741j),36.99630037004923,(-0.01724837097063701-0.0026273122422436042j),36.99630037037782
38,38,7.628793750000001,0.0077864403476509,(-0.002257953906712691+0.009824454791766038j),37.99620038005056,(-0.0022579539067133962+0.009824454791770442j),37.99620038038803
39,39,7.62889375,0.00314577269834,(-0.007350677163137617+0.008355926332171557j),38.996100390051886,(-0.007350677163138846+0.008355926332171719j),38.99610039039824
40,40,7.62899375,0.0059277544565092,(-0.007295473251104194+0.005136952073074141j),39.99600040005322,(-0.007295473251105203+0.00513695207307538j),39.996000400408455
41,41,7.629093750000001,0.0015089791160871,(-0.011857411725818983+0.010762560120374576j),40.99590041005455,(-0.011857411725818837+0.010762560120374163j),40.99590041041866
42,42,7.629193750000001,0.0050177673288647,(-0.008397401878031776+0.0050503990134584285j),41.99580042005588,(-0.008397401878032656+0.005050399013461674j),41.99580042042888
43,43,7.62929375,0.0028772694731863,(-0.013794001177619464-0.018674244797053263j),42.99570043005721,(-0.013794001177620023-0.018674244797054096j),42.995700430439086
44,44,7.62939375,0.0063424892276587,(-0.0013058405352250552-0.011149666052656285j),43.99560044005854,(-0.0013058405352274465-0.011149666052653549j),43.9956004404493
45,45,7.629493750000001,0.0079471622552524,(-0.017102595830729147+0.007927212642702186j),44.99550045005987,(-0.017102595830733938+0.007927212642704967j),44.99550045045951
46,46,7.629593750000001,0.008780678187816,(-0.0050099306845989185-0.00334018510333734j),45.9954004600612,(-0.005009930684597206-0.0033401851033342377j),45.995400460469725
47,47,7.62969375,0.0101876680255114,(0.009553487607001867+0.033909935001629185j),46.99530047006253,(0.009553487607002715+0.03390993500162688j),46.99530047047993
48,48,7.62979375,0.0085338853386963,(-0.011040666769713704+0.015991389432561915j),47.99520048006386,(-0.011040666769714696+0.015991389432560232j),47.99520048049014
49,49,7.629893750000001,0.0065986533346929,(-0.0011871062908234732+0.007954922114285562j),48.99510049006519,(-0.0011871062908249078+0.00795492211428514j),48.995100490500356
50,50,7.629993750000001,0.0066640457112682,(-0.004564189575050686+0.0169349274366975j),49.99500050006653,(-0.004564189575048068+0.01693492743669619j),49.995000500510564
51,51,7.63009375,0.0058886178441863,(-0.02360302769040209+0.005706514368500235j),50.99490051006785,(-0.023603027690402328+0.005706514368498743j),50.99490051052078
52,52,7.63019375,0.0058190580450761,(0.013705885653721103-0.012737253424394752j),51.994800520069184,(0.013705885653717907-0.012737253424391685j),51.99480052053099
53,53,7.630293750000001,0.0078835757371993,(-0.0008268987345869169-0.012486014984446901j),52.99470053007051,(-0.000826898734586517-0.012486014984446401j),52.9947005305412
54,54,7.63039375,0.0052208599306868,(0.003652622572014038+0.010765358128332948j),53.99460054007184,(0.003652622572018138+0.01076535812833351j),53.99460054055141
55,55,7.63049375,0.0083232446667046,(-0.011238725189238526+0.005409520449576009j),54.99450055007318,(-0.0112387251892384+0.005409520449576169j),54.994500550561625
56,56,7.630593750000001,0.0071446290840027,(-0.016820159248035968+0.008184215920211266j),55.9944005600745,(-0.016820159248036645+0.008184215920213544j),55.99440056057183
57,57,7.630693750000001,0.0090805618329707,(-0.005805385040569897-0.0008872696681794794j),56.99430057007584,(-0.005805385040568355-0.0008872696681800887j),56.99430057058205
58,58,7.63079375,0.008505583353079,(-0.01251067936437778+0.011790290415944905j),57.99420058007716,(-0.012510679364376609+0.011790290415942985j),57.994200580592256
59,59,7.63089375,0.008534817220587,(-0.019197405409182713+0.014260554963992766j),58.994100590078496,(-0.01919740540918557+0.014260554963989374j),58.99410059060247
60,60,7.630993750000001,0.0073897576035469,(-0.023969954480021052+0.0283119316973367j),59.99400060007983,(-0.02396995448001897+0.02831193169733716j),59.99400060061268
61,61,7.631093750000001,0.0069766300776797,(0.00048462483775997176-0.0027196768860456807j),60.99390061008116,(0.00048462483775701124-0.002719676886047829j),60.993900610622894
62,62,7.63119375,0.0069101751318039,(-0.007835626583154185+0.01984237265205436j),61.99380062008249,(-0.007835626583153519+0.01984237265205439j),61.9938006206331
63,63,7.63129375,0.0083996542380634,(-0.011933128181978005+0.0007399949810037512j),62.993700630083815,(-0.01193312818198002+0.0007399949810032612j),62.99370063064332
64,64,7.631393750000001,0.0076112663103294,(-0.005056436695737056+0.009949774883314671j),63.99360064008515,(-0.00505643669573771+0.009949774883311986j),63.993600640653526
65,65,7.631493750000001,0.0065401585925054,(-0.014880538446315613+0.009185459016612902j),64.99350065008647,(-0.014880538446316144+0.009185459016612163j),64.99350065066373
66,66,7.63159375,0.0088688440154241,(-0.01190341961801706+0.015658075355904563j),65.99340066008781,(-0.011903419618019186+0.01565807535590057j),65.99340066067394
67,67,7.63169375,0.0085896365423668,(-0.019565755152475838+0.011735673765621377j),66.99330067008914,(-0.019565755152477434+0.011735673765619523j),66.99330067068416
68,68,7.631793750000001,0.0108035141692628,(-0.005086428568428367+0.016922227442344617j),67.99320068009047,(-0.005086428568426723+0.0169222274423466j),67.99320068069437
69,69,7.631893750000001,0.0083597707972606,(0.005387868868949157+0.013425552967570649j),68.9931006900918,(0.005387868868949444+0.013425552967566564j),68.99310069070458
70,70,7.63199375,0.0071772633214895,(-0.017393685037344644+0.015840790250069705j),69.99300070009313,(-0.017393685037342767+0.015840790250069143j),69.99300070071479
71,71,7.63209375,0.0069882380163134,(-0.02094871601075181+0.02900562927270413j),70.99290071009446,(-0.020948716010753987+0.029005629272708017j),70.99290071072501
72,72,7.632193750000001,0.0049698287122005,(0.007403994546822368+0.015039291858424548j),71.99280072009579,(0.0074039945468203205+0.015039291858426883j),71.99280072073522
