,Unnamed: 0,Experiment,chatter_presence,med,std,rms,curtose,distortion,amplitude,sra,crest,impulse,margin,max,freq_max,freq_sec_highest,fft_mean,cluster
0,0,s_320_045_split_1,2,0.0054824473118809,0.0022851263345173,0.0059396118659249,-0.6845011481408214,13046.608857849147,0.0194013859274171,0.0052173299566286,2.7098459787331906,2.9346794414782926,3.0849943292667152,0.0160954333301127,3075.2538494994683,3314.593370820983,0.6175416514265412,1
1,1,s_320_015_split_0,2,0.0054749379412321,0.002081061903417,0.0058571089805784,-0.2548896882892966,7052.357014085534,0.0419066555613548,0.0052656614501495,4.755544456483761,5.084255434834697,5.289694828903226,0.0278537421436112,119.8664002971676,696.6651185235825,0.4064783668628599,0
2,2,s_320_020_split_3,2,0.0054917306636992,0.0019714567349164,0.0058348600561277,-1.17082305219215,8819.340916433037,0.0104585877678085,0.0053028350544301,1.7926931435597029,1.9047025895484653,1.972551193632149,0.0104601136162506,-119.59880401223862,-1207.7879221235935,0.159833959215785,0
3,3,c_770_005_split_3,0,0.0054136396722121,0.0406375042815207,0.0409961570197606,0.8986664481876239,4733.248435402633,0.4169093880691372,0.0268420841381207,5.159851674906588,6.625808385744687,7.880687966502842,0.2053752986059918,-945.8624628315024,-845.8629072741827,6.028744152604382,0
4,4,c_770_002_split_0,0,0.00546850366072,0.0141400675071,0.0151599708631974,3.312442853022805,1899.48874175973,0.1604583215885068,0.0087894693573126,5.493717789716012,7.627771249493248,9.4754982624103,0.0771737199657824,933.5751046660512,959.9744006848856,1.305385027963466,1
5,5,s_425_015_split_3,2,0.0054836292444173,0.002265604922291,0.0059332108591586,-0.4040506863977007,6453.738698098661,0.0200457618597843,0.0052290682207542,2.7388074738103927,2.9582551850019163,3.10761335647917,0.0162499222447566,-69.03944768519261,-240.0780793780568,0.2883117338269779,0
6,6,s_320_020_split_1,2,0.0054959178851515,0.0018949733795373,0.0058134235930749,-1.177767791263422,8882.070679801158,0.0092663766070041,0.0053232516465766,1.7800338305016152,1.882868500395028,1.943941664558418,0.0103480906667096,4628.853711473674,4721.152788483119,0.1286470274897066,1
7,7,s_570_005_split_2,2,0.0054911778326215,0.0027542228534666,0.0061429425537458,-0.021513095594583,1987.9982723782316,0.0188516381657125,0.0051374543838326,2.511916814518465,2.7899276612462787,3.0035421316702293,0.0154305606913753,-4848.515148496452,-4664.533546656206,0.1180541101039867,0
8,8,s_425_010_split_3,2,0.005486154908212,0.0021837218556956,0.0059047763906371,-0.7523408889604326,7960.065909582332,0.0154594985346961,0.005242476501291,2.220619142574446,2.3889006587256314,2.5011575125689904,0.0131122594856705,-295.7576339422446,-696.5544275723894,0.2550429276013611,0
9,9,s_320_015_split_3,2,0.0054889787262347,0.0020900998946568,0.0058734458536224,-1.0798267437592872,15858.168507748034,0.0132874388790677,0.0052728468111314,2.1150205837130027,2.263133596550555,2.3559301687866827,0.0124224588777353,-119.8664002971676,-696.6651185235825,0.3845424539253252,0
